FY,CFIS/ORG Code,CBID,Leave Benefit ID,Leave Benefit Name,ending_balance
2024-2025,0250,E89,EH,EXCESS HOURS (EH),2.0
2024-2025,0250,E89,HI,HOLIDAY INFORMAL TIME OFF,12.0
2024-2025,0250,E89,LD,PERSONAL LEAVE PROG 2003,321.0
2024-2025,0250,E89,PH,PERSONAL HOLIDAY,800.0
2024-2025,0250,E89,PL,PERSONAL LEAVE PROGRAM,96.0
2024-2025,0250,E89,PV,VOLUNTARY PLP,72.5
2024-2025,0250,E89,SL,SICK LEAVE,50321.5
2024-2025,0250,E89,VA,VACATION,33837.25
2024-2025,0257,E48,AL,ANNUAL LEAVE,301.0
2024-2025,0257,E48,HI,HOLIDAY INFORMAL TIME OFF,8.0
2024-2025,0257,E48,PH,PERSONAL HOLIDAY,8.0
2024-2025,0257,E48,PT,PROFESSIONAL TRNG/DEVEL,16.0
2024-2025,0257,E48,SL,SICK LEAVE,48.0
2024-2025,0257,E59,PH,PERSONAL HOLIDAY,16.0
2024-2025,0257,E59,PT,PROFESSIONAL TRNG/DEVEL,24.0
2024-2025,0257,E59,SL,SICK LEAVE,1388.5
2024-2025,0257,E59,VA,VACATION,641.0
2024-2025,0257,E99,AL,ANNUAL LEAVE,239.0
2024-2025,0257,E99,PH,PERSONAL HOLIDAY,0.0
2024-2025,0257,E99,PT,PROFESSIONAL TRNG/DEVEL,16.0
2024-2025,0257,M01,AL,ANNUAL LEAVE,2243.5
2024-2025,0257,M01,EL,EDUCATIONAL LEAVE,1032.0
2024-2025,0257,M01,HC,HOLIDAY CREDIT,80.0
2024-2025,0257,M01,HI,HOLIDAY INFORMAL TIME OFF,112.0
2024-2025,0257,M01,PH,PERSONAL HOLIDAY,280.0
2024-2025,0257,M01,PT,PROFESSIONAL TRNG/DEVEL,168.0
2024-2025,0257,M01,SL,SICK LEAVE,2686.5
2024-2025,0257,M01,VA,VACATION,1818.0
2024-2025,0257,R01,AL,ANNUAL LEAVE,569.0
2024-2025,0257,R01,HI,HOLIDAY INFORMAL TIME OFF,20.0
2024-2025,0257,R01,PH,PERSONAL HOLIDAY,48.0
2024-2025,0257,R01,PT,PROFESSIONAL TRNG/DEVEL,144.0
2024-2025,0257,R01,SL,SICK LEAVE,471.5
2024-2025,0257,R01,VA,VACATION,259.0
2024-2025,0257,S01,AL,ANNUAL LEAVE,539.0
2024-2025,0257,S01,HI,HOLIDAY INFORMAL TIME OFF,4.0
2024-2025,0257,S01,PH,PERSONAL HOLIDAY,0.0
2024-2025,0257,S01,PT,PROFESSIONAL TRNG/DEVEL,16.0
2024-2025,0280,E88,AL,ANNUAL LEAVE,1863.0
2024-2025,0280,E88,PH,PERSONAL HOLIDAY,112.0
2024-2025,0280,E88,PL,PERSONAL LEAVE PROGRAM,1.0
2024-2025,0280,E88,SL,SICK LEAVE,5481.5
2024-2025,0280,E88,VA,VACATION,3286.0
2024-2025,0280,E89,PH,PERSONAL HOLIDAY,0.0
2024-2025,0280,E89,SL,SICK LEAVE,56.0
2024-2025,0280,E89,VA,VACATION,593.25
2024-2025,0462,E48,AL,ANNUAL LEAVE,387.0
2024-2025,0462,E48,CT,COMPENSATING TIME OFF,0.75
2024-2025,0462,E48,HI,HOLIDAY INFORMAL TIME OFF,16.0
2024-2025,0462,E48,LX,PERSONAL LEAVE PROG 2020,0.25
2024-2025,0462,E48,PH,PERSONAL HOLIDAY,40.0
2024-2025,0462,E48,PT,PROFESSIONAL TRNG/DEVEL,58.0
2024-2025,0462,E48,PV,VOLUNTARY PLP,98.0
2024-2025,0462,E48,SL,SICK LEAVE,208.0
2024-2025,0462,E48,VA,VACATION,622.0
2024-2025,0462,E99,AL,ANNUAL LEAVE,3898.0
2024-2025,0462,E99,HI,HOLIDAY INFORMAL TIME OFF,64.0
2024-2025,0462,E99,LX,PERSONAL LEAVE PROG 2020,102.0
2024-2025,0462,E99,PH,PERSONAL HOLIDAY,88.0
2024-2025,0462,E99,PT,PROFESSIONAL TRNG/DEVEL,56.0
2024-2025,0462,E99,SL,SICK LEAVE,964.0
2024-2025,0462,M01,AL,ANNUAL LEAVE,4371.0
2024-2025,0462,M01,CT,COMPENSATING TIME OFF,29.0
2024-2025,0462,M01,EX,EXCESS HOURS (EX),4.0
2024-2025,0462,M01,HC,HOLIDAY CREDIT,40.0
2024-2025,0462,M01,HI,HOLIDAY INFORMAL TIME OFF,60.0
2024-2025,0462,M01,PH,PERSONAL HOLIDAY,64.0
2024-2025,0462,M01,PT,PROFESSIONAL TRNG/DEVEL,80.0
2024-2025,0462,M01,SL,SICK LEAVE,239.5
2024-2025,0462,M01,VA,VACATION,869.0
2024-2025,0462,M02,AL,ANNUAL LEAVE,201.0
2024-2025,0462,M02,HI,HOLIDAY INFORMAL TIME OFF,4.0
2024-2025,0462,M02,LX,PERSONAL LEAVE PROG 2020,2.0
2024-2025,0462,M02,PH,PERSONAL HOLIDAY,24.0
2024-2025,0462,M02,PT,PROFESSIONAL TRNG/DEVEL,40.0
2024-2025,0462,M09,AL,ANNUAL LEAVE,1810.75
2024-2025,0462,M09,HC,HOLIDAY CREDIT,16.0
2024-2025,0462,M09,HI,HOLIDAY INFORMAL TIME OFF,28.0
2024-2025,0462,M09,PH,PERSONAL HOLIDAY,16.0
2024-2025,0462,M09,PT,PROFESSIONAL TRNG/DEVEL,48.0
2024-2025,0462,M09,PV,VOLUNTARY PLP,128.0
2024-2025,0462,M10,AL,ANNUAL LEAVE,315.0
2024-2025,0462,M10,PH,PERSONAL HOLIDAY,16.0
2024-2025,0462,M10,PT,PROFESSIONAL TRNG/DEVEL,16.0
2024-2025,0462,R01,AL,ANNUAL LEAVE,3971.75
2024-2025,0462,R01,CT,COMPENSATING TIME OFF,446.5
2024-2025,0462,R01,EX,EXCESS HOURS (EX),2.0
2024-2025,0462,R01,HC,HOLIDAY CREDIT,206.0
2024-2025,0462,R01,HI,HOLIDAY INFORMAL TIME OFF,200.25
2024-2025,0462,R01,LX,PERSONAL LEAVE PROG 2020,545.5
2024-2025,0462,R01,PH,PERSONAL HOLIDAY,400.0
2024-2025,0462,R01,PT,PROFESSIONAL TRNG/DEVEL,1003.0
2024-2025,0462,R01,PV,VOLUNTARY PLP,366.5
2024-2025,0462,R01,SL,SICK LEAVE,8668.5
2024-2025,0462,R01,VA,VACATION,8553.75
2024-2025,0462,R02,AL,ANNUAL LEAVE,3735.0
2024-2025,0462,R02,HC,HOLIDAY CREDIT,16.0
2024-2025,0462,R02,HI,HOLIDAY INFORMAL TIME OFF,24.0
2024-2025,0462,R02,HT,HOLIDAY CREDIT-WK ON HOL,4.0
2024-2025,0462,R02,LT,PERSONAL LEAVE TIME,4.25
2024-2025,0462,R02,PH,PERSONAL HOLIDAY,48.0
2024-2025,0462,R02,PL,PERSONAL LEAVE PROGRAM,45.0
2024-2025,0462,R02,PT,PROFESSIONAL TRNG/DEVEL,168.0
2024-2025,0462,R02,SL,SICK LEAVE,80.0
2024-2025,0462,R04,CT,COMPENSATING TIME OFF,1.5
2024-2025,0462,R04,PT,PROFESSIONAL TRNG/DEVEL,16.0
2024-2025,0462,R04,SL,SICK LEAVE,64.0
2024-2025,0462,R04,VA,VACATION,48.0
2024-2025,0462,R09,AL,ANNUAL LEAVE,2483.5
2024-2025,0462,R09,CT,COMPENSATING TIME OFF,143.75
2024-2025,0462,R09,EX,EXCESS HOURS (EX),15.0
2024-2025,0462,R09,HC,HOLIDAY CREDIT,25.75
2024-2025,0462,R09,HI,HOLIDAY INFORMAL TIME OFF,25.0
2024-2025,0462,R09,PH,PERSONAL HOLIDAY,72.0
2024-2025,0462,R09,PT,PROFESSIONAL TRNG/DEVEL,257.0
2024-2025,0462,R09,PV,VOLUNTARY PLP,239.0
2024-2025,0462,R09,SL,SICK LEAVE,912.0
2024-2025,0462,R09,VA,VACATION,908.0
2024-2025,0462,R10,AL,ANNUAL LEAVE,473.5
2024-2025,0462,R10,EX,EXCESS HOURS (EX),4.0
2024-2025,0462,R10,HI,HOLIDAY INFORMAL TIME OFF,8.0
2024-2025,0462,R10,LX,PERSONAL LEAVE PROG 2020,28.0
2024-2025,0462,R10,PH,PERSONAL HOLIDAY,80.0
2024-2025,0462,R10,PT,PROFESSIONAL TRNG/DEVEL,144.0
2024-2025,0462,R10,PV,VOLUNTARY PLP,0.0
2024-2025,0462,R10,SL,SICK LEAVE,1301.0
2024-2025,0462,R10,VA,VACATION,788.0
2024-2025,0462,S01,AL,ANNUAL LEAVE,2572.75
2024-2025,0462,S01,CT,COMPENSATING TIME OFF,6.5
2024-2025,0462,S01,HC,HOLIDAY CREDIT,76.0
2024-2025,0462,S01,HI,HOLIDAY INFORMAL TIME OFF,52.0
2024-2025,0462,S01,LX,PERSONAL LEAVE PROG 2020,25.5
2024-2025,0462,S01,PH,PERSONAL HOLIDAY,56.0
2024-2025,0462,S01,PT,PROFESSIONAL TRNG/DEVEL,176.0
2024-2025,0462,S01,PV,VOLUNTARY PLP,152.0
2024-2025,0462,S01,SL,SICK LEAVE,2238.0
2024-2025,0462,S01,VA,VACATION,2424.25
2024-2025,0462,S09,AL,ANNUAL LEAVE,3102.75
2024-2025,0462,S09,HC,HOLIDAY CREDIT,24.0
2024-2025,0462,S09,HI,HOLIDAY INFORMAL TIME OFF,33.0
2024-2025,0462,S09,HT,HOLIDAY CREDIT-WK ON HOL,26.25
2024-2025,0462,S09,LX,PERSONAL LEAVE PROG 2020,88.0
2024-2025,0462,S09,PH,PERSONAL HOLIDAY,40.0
2024-2025,0462,S09,PT,PROFESSIONAL TRNG/DEVEL,176.0
2024-2025,0462,S09,SL,SICK LEAVE,1343.5
2024-2025,0462,S09,VA,VACATION,1816.5
2024-2025,0462,S10,AL,ANNUAL LEAVE,1310.0
2024-2025,0462,S10,CT,COMPENSATING TIME OFF,0.25
2024-2025,0462,S10,PH,PERSONAL HOLIDAY,32.0
2024-2025,0462,S10,PT,PROFESSIONAL TRNG/DEVEL,32.0
2024-2025,0462,S10,SL,SICK LEAVE,264.5
2024-2025,0500,E,AL,ANNUAL LEAVE,325.0
2024-2025,0500,E,PH,PERSONAL HOLIDAY,0.0
2024-2025,0500,E97,AL,ANNUAL LEAVE,12672.75
2024-2025,0500,E97,CT,COMPENSATING TIME OFF,2366.25
2024-2025,0500,E97,HC,HOLIDAY CREDIT,44.0
2024-2025,0500,E97,HI,HOLIDAY INFORMAL TIME OFF,144.5
2024-2025,0500,E97,LX,PERSONAL LEAVE PROG 2020,35.0
2024-2025,0500,E97,PH,PERSONAL HOLIDAY,392.0
2024-2025,0500,E97,PT,PROFESSIONAL TRNG/DEVEL,712.0
2024-2025,0500,E97,SL,SICK LEAVE,726.0
2024-2025,0500,E97,VA,VACATION,331.5
2024-2025,0500,E99,AL,ANNUAL LEAVE,43607.25
2024-2025,0500,E99,CT,COMPENSATING TIME OFF,140.25
2024-2025,0500,E99,HC,HOLIDAY CREDIT,572.0
2024-2025,0500,E99,HI,HOLIDAY INFORMAL TIME OFF,272.0
2024-2025,0500,E99,HT,HOLIDAY CREDIT-WK ON HOL,8.0
2024-2025,0500,E99,LV,PERSONAL LEAVE PROG 2012,192.0
2024-2025,0500,E99,LX,PERSONAL LEAVE PROG 2020,590.0
2024-2025,0500,E99,PH,PERSONAL HOLIDAY,848.0
2024-2025,0500,E99,PT,PROFESSIONAL TRNG/DEVEL,920.0
2024-2025,0500,E99,SL,SICK LEAVE,7223.75
2024-2025,0500,E99,VA,VACATION,2798.25
2024-2025,0502,C01,AL,ANNUAL LEAVE,513.0
2024-2025,0502,C01,CT,COMPENSATING TIME OFF,6.0
2024-2025,0502,C01,LD,PERSONAL LEAVE PROG 2003,20.0
2024-2025,0502,C01,PH,PERSONAL HOLIDAY,0.0
2024-2025,0502,C01,PT,PROFESSIONAL TRNG/DEVEL,16.0
2024-2025,0502,E68,AL,ANNUAL LEAVE,11627.5
2024-2025,0502,E68,CT,COMPENSATING TIME OFF,0.75
2024-2025,0502,E68,HC,HOLIDAY CREDIT,290.5
2024-2025,0502,E68,HI,HOLIDAY INFORMAL TIME OFF,342.25
2024-2025,0502,E68,LD,PERSONAL LEAVE PROG 2003,192.0
2024-2025,0502,E68,LX,PERSONAL LEAVE PROG 2020,787.0
2024-2025,0502,E68,PH,PERSONAL HOLIDAY,817.5
2024-2025,0502,E68,PT,PROFESSIONAL TRNG/DEVEL,568.0
2024-2025,0502,E68,PV,VOLUNTARY PLP,80.0
2024-2025,0502,E68,SL,SICK LEAVE,14510.75
2024-2025,0502,E68,VA,VACATION,11572.0
2024-2025,0502,E79,AL,ANNUAL LEAVE,21135.75
2024-2025,0502,E79,EX,EXCESS HOURS (EX),12.0
2024-2025,0502,E79,HC,HOLIDAY CREDIT,1050.75
2024-2025,0502,E79,HI,HOLIDAY INFORMAL TIME OFF,392.0
2024-2025,0502,E79,LD,PERSONAL LEAVE PROG 2003,320.0
2024-2025,0502,E79,LX,PERSONAL LEAVE PROG 2020,1147.0
2024-2025,0502,E79,PH,PERSONAL HOLIDAY,1128.0
2024-2025,0502,E79,PT,PROFESSIONAL TRNG/DEVEL,730.0
2024-2025,0502,E79,PV,VOLUNTARY PLP,234.0
2024-2025,0502,E79,SL,SICK LEAVE,23839.25
2024-2025,0502,E79,VA,VACATION,20003.0
2024-2025,0502,E99,AL,ANNUAL LEAVE,15245.25
2024-2025,0502,E99,HC,HOLIDAY CREDIT,324.5
2024-2025,0502,E99,HI,HOLIDAY INFORMAL TIME OFF,258.0
2024-2025,0502,E99,LD,PERSONAL LEAVE PROG 2003,184.0
2024-2025,0502,E99,LX,PERSONAL LEAVE PROG 2020,783.0
2024-2025,0502,E99,PH,PERSONAL HOLIDAY,408.0
2024-2025,0502,E99,PT,PROFESSIONAL TRNG/DEVEL,352.0
2024-2025,0502,E99,PV,VOLUNTARY PLP,240.0
2024-2025,0502,E99,SL,SICK LEAVE,13260.5
2024-2025,0502,E99,VA,VACATION,7355.0
2024-2025,0502,M01,AL,ANNUAL LEAVE,31617.0
2024-2025,0502,M01,CT,COMPENSATING TIME OFF,231.75
2024-2025,0502,M01,EX,EXCESS HOURS (EX),3.0
2024-2025,0502,M01,HC,HOLIDAY CREDIT,1739.0
2024-2025,0502,M01,HI,HOLIDAY INFORMAL TIME OFF,1098.0
2024-2025,0502,M01,HT,HOLIDAY CREDIT-WK ON HOL,48.0
2024-2025,0502,M01,LD,PERSONAL LEAVE PROG 2003,860.0
2024-2025,0502,M01,LV,PERSONAL LEAVE PROG 2012,7.5
2024-2025,0502,M01,LX,PERSONAL LEAVE PROG 2020,2686.5
2024-2025,0502,M01,PH,PERSONAL HOLIDAY,2904.0
2024-2025,0502,M01,PT,PROFESSIONAL TRNG/DEVEL,1776.0
2024-2025,0502,M01,PV,VOLUNTARY PLP,2273.0
2024-2025,0502,M01,SL,SICK LEAVE,57352.0
2024-2025,0502,M01,VA,VACATION,53819.5
2024-2025,0502,R01,AL,ANNUAL LEAVE,59173.5
2024-2025,0502,R01,CT,COMPENSATING TIME OFF,2987.5
2024-2025,0502,R01,EX,EXCESS HOURS (EX),717.25
2024-2025,0502,R01,FH,FURLOUGH HOURS,21.5
2024-2025,0502,R01,HC,HOLIDAY CREDIT,13338.25
2024-2025,0502,R01,HI,HOLIDAY INFORMAL TIME OFF,5470.5
2024-2025,0502,R01,HT,HOLIDAY CREDIT-WK ON HOL,788.0
2024-2025,0502,R01,LD,PERSONAL LEAVE PROG 2003,1782.5
2024-2025,0502,R01,LV,PERSONAL LEAVE PROG 2012,18.0
2024-2025,0502,R01,LX,PERSONAL LEAVE PROG 2020,12362.75
2024-2025,0502,R01,PH,PERSONAL HOLIDAY,11942.0
2024-2025,0502,R01,PL,PERSONAL LEAVE PROGRAM,272.0
2024-2025,0502,R01,PT,PROFESSIONAL TRNG/DEVEL,9231.0
2024-2025,0502,R01,PV,VOLUNTARY PLP,4335.0
2024-2025,0502,R01,SL,SICK LEAVE,247533.5
2024-2025,0502,R01,VA,VACATION,228883.0
2024-2025,0502,R02,AL,ANNUAL LEAVE,1787.75
2024-2025,0502,R02,HI,HOLIDAY INFORMAL TIME OFF,28.0
2024-2025,0502,R02,PH,PERSONAL HOLIDAY,24.0
2024-2025,0502,R02,PL,PERSONAL LEAVE PROGRAM,2.25
2024-2025,0502,R02,PT,PROFESSIONAL TRNG/DEVEL,120.0
2024-2025,0502,R02,SL,SICK LEAVE,96.0
2024-2025,0502,R02,VA,VACATION,97.0
2024-2025,0502,R04,AL,ANNUAL LEAVE,42.0
2024-2025,0502,R04,HC,HOLIDAY CREDIT,16.0
2024-2025,0502,R04,HI,HOLIDAY INFORMAL TIME OFF,11.0
2024-2025,0502,R04,HT,HOLIDAY CREDIT-WK ON HOL,8.0
2024-2025,0502,R04,PH,PERSONAL HOLIDAY,16.0
2024-2025,0502,R04,PT,PROFESSIONAL TRNG/DEVEL,112.0
2024-2025,0502,R04,SL,SICK LEAVE,1149.0
2024-2025,0502,R04,VA,VACATION,1752.75
2024-2025,0502,R09,AL,ANNUAL LEAVE,2383.25
2024-2025,0502,R09,CT,COMPENSATING TIME OFF,586.25
2024-2025,0502,R09,HC,HOLIDAY CREDIT,160.0
2024-2025,0502,R09,HI,HOLIDAY INFORMAL TIME OFF,202.0
2024-2025,0502,R09,LD,PERSONAL LEAVE PROG 2003,95.0
2024-2025,0502,R09,LX,PERSONAL LEAVE PROG 2020,480.0
2024-2025,0502,R09,PH,PERSONAL HOLIDAY,304.0
2024-2025,0502,R09,PT,PROFESSIONAL TRNG/DEVEL,152.0
2024-2025,0502,R09,SL,SICK LEAVE,8475.0
2024-2025,0502,R09,VA,VACATION,6735.25
2024-2025,0502,S01,AL,ANNUAL LEAVE,16709.5
2024-2025,0502,S01,CT,COMPENSATING TIME OFF,33.75
2024-2025,0502,S01,EX,EXCESS HOURS (EX),17.0
2024-2025,0502,S01,HC,HOLIDAY CREDIT,1596.0
2024-2025,0502,S01,HI,HOLIDAY INFORMAL TIME OFF,398.5
2024-2025,0502,S01,HT,HOLIDAY CREDIT-WK ON HOL,648.0
2024-2025,0502,S01,LD,PERSONAL LEAVE PROG 2003,96.0
2024-2025,0502,S01,LX,PERSONAL LEAVE PROG 2020,741.0
2024-2025,0502,S01,PH,PERSONAL HOLIDAY,812.75
2024-2025,0502,S01,PL,PERSONAL LEAVE PROGRAM,107.5
2024-2025,0502,S01,PT,PROFESSIONAL TRNG/DEVEL,944.0
2024-2025,0502,S01,PV,VOLUNTARY PLP,242.5
2024-2025,0502,S01,SL,SICK LEAVE,23652.0
2024-2025,0502,S01,VA,VACATION,18513.25
2024-2025,0502,S09,CT,COMPENSATING TIME OFF,32.0
2024-2025,0502,S09,HC,HOLIDAY CREDIT,0.5
2024-2025,0502,S09,LD,PERSONAL LEAVE PROG 2003,75.0
2024-2025,0502,S09,PH,PERSONAL HOLIDAY,16.0
2024-2025,0502,S09,PT,PROFESSIONAL TRNG/DEVEL,48.0
2024-2025,0502,S09,PV,VOLUNTARY PLP,56.0
2024-2025,0502,S09,SL,SICK LEAVE,2126.25
2024-2025,0502,S09,VA,VACATION,2289.0
2024-2025,0509,E,AL,ANNUAL LEAVE,30.0
2024-2025,0509,E,PT,PROFESSIONAL TRNG/DEVEL,16.0
2024-2025,0509,E48,AL,ANNUAL LEAVE,6697.25
2024-2025,0509,E48,CT,COMPENSATING TIME OFF,0.5
2024-2025,0509,E48,EX,EXCESS HOURS (EX),2.0
2024-2025,0509,E48,HC,HOLIDAY CREDIT,111.0
2024-2025,0509,E48,HI,HOLIDAY INFORMAL TIME OFF,130.0
2024-2025,0509,E48,HT,HOLIDAY CREDIT-WK ON HOL,26.0
2024-2025,0509,E48,LX,PERSONAL LEAVE PROG 2020,115.0
2024-2025,0509,E48,PH,PERSONAL HOLIDAY,480.0
2024-2025,0509,E48,PT,PROFESSIONAL TRNG/DEVEL,424.0
2024-2025,0509,E48,PV,VOLUNTARY PLP,630.5
2024-2025,0509,E48,SL,SICK LEAVE,3870.0
2024-2025,0509,E48,VA,VACATION,2126.0
2024-2025,0509,E79,AL,ANNUAL LEAVE,2933.0
2024-2025,0509,E79,HC,HOLIDAY CREDIT,90.0
2024-2025,0509,E79,HI,HOLIDAY INFORMAL TIME OFF,59.0
2024-2025,0509,E79,LD,PERSONAL LEAVE PROG 2003,16.0
2024-2025,0509,E79,LX,PERSONAL LEAVE PROG 2020,120.0
2024-2025,0509,E79,PH,PERSONAL HOLIDAY,72.0
2024-2025,0509,E79,PT,PROFESSIONAL TRNG/DEVEL,32.0
2024-2025,0509,E98,AL,ANNUAL LEAVE,340.0
2024-2025,0509,E98,PH,PERSONAL HOLIDAY,0.0
2024-2025,0509,E98,PT,PROFESSIONAL TRNG/DEVEL,8.0
2024-2025,0509,E98,SL,SICK LEAVE,2.0
2024-2025,0509,E99,AL,ANNUAL LEAVE,7019.5
2024-2025,0509,E99,HC,HOLIDAY CREDIT,64.0
2024-2025,0509,E99,HI,HOLIDAY INFORMAL TIME OFF,88.0
2024-2025,0509,E99,LX,PERSONAL LEAVE PROG 2020,40.0
2024-2025,0509,E99,PH,PERSONAL HOLIDAY,216.0
2024-2025,0509,E99,PL,PERSONAL LEAVE PROGRAM,5.0
2024-2025,0509,E99,PT,PROFESSIONAL TRNG/DEVEL,208.0
2024-2025,0509,E99,PV,VOLUNTARY PLP,56.0
2024-2025,0509,E99,SL,SICK LEAVE,1703.25
2024-2025,0509,E99,VA,VACATION,1162.0
2024-2025,0509,M01,AL,ANNUAL LEAVE,3587.25
2024-2025,0509,M01,HC,HOLIDAY CREDIT,160.0
2024-2025,0509,M01,HI,HOLIDAY INFORMAL TIME OFF,179.0
2024-2025,0509,M01,LD,PERSONAL LEAVE PROG 2003,72.0
2024-2025,0509,M01,LX,PERSONAL LEAVE PROG 2020,360.0
2024-2025,0509,M01,PH,PERSONAL HOLIDAY,272.0
2024-2025,0509,M01,PT,PROFESSIONAL TRNG/DEVEL,128.0
2024-2025,0509,M01,PV,VOLUNTARY PLP,288.0
2024-2025,0509,M01,SL,SICK LEAVE,5324.5
2024-2025,0509,M01,VA,VACATION,2927.75
2024-2025,0509,R01,AL,ANNUAL LEAVE,7759.25
2024-2025,0509,R01,CT,COMPENSATING TIME OFF,211.0
2024-2025,0509,R01,EX,EXCESS HOURS (EX),4.0
2024-2025,0509,R01,HC,HOLIDAY CREDIT,304.0
2024-2025,0509,R01,HI,HOLIDAY INFORMAL TIME OFF,362.0
2024-2025,0509,R01,LD,PERSONAL LEAVE PROG 2003,192.0
2024-2025,0509,R01,LX,PERSONAL LEAVE PROG 2020,671.25
2024-2025,0509,R01,PH,PERSONAL HOLIDAY,1328.0
2024-2025,0509,R01,PT,PROFESSIONAL TRNG/DEVEL,1304.0
2024-2025,0509,R01,PV,VOLUNTARY PLP,948.0
2024-2025,0509,R01,SL,SICK LEAVE,15854.0
2024-2025,0509,R01,VA,VACATION,12583.75
2024-2025,0509,R02,AL,ANNUAL LEAVE,347.0
2024-2025,0509,R02,HI,HOLIDAY INFORMAL TIME OFF,4.0
2024-2025,0509,R02,PH,PERSONAL HOLIDAY,0.0
2024-2025,0509,R02,PT,PROFESSIONAL TRNG/DEVEL,72.0
2024-2025,0509,R04,AL,ANNUAL LEAVE,81.0
2024-2025,0509,R04,HC,HOLIDAY CREDIT,24.0
2024-2025,0509,R04,HI,HOLIDAY INFORMAL TIME OFF,28.0
2024-2025,0509,R04,PH,PERSONAL HOLIDAY,40.0
2024-2025,0509,R04,PT,PROFESSIONAL TRNG/DEVEL,43.0
2024-2025,0509,R04,SL,SICK LEAVE,334.0
